instancia,intensidade,respeita_lb,repeticao,duracao,fo
instance_0004b,0.1,True,1,60.47,5.300653594771242
instance_0004b,0.2,True,6,60.43,5.1
instance_0004b,0.3,False,1,60.53,4.372670807453416
instance_0004b,0.7,True,6,60.38,5.717105263157895
instance_0004b,0.6,True,1,60.49,5.754838709677419
instance_0004b,0.9,False,6,60.26,4.331288343558282
instance_0004b,0.8,False,1,60.34,4.453416149068323
instance_0004b,0.4,False,6,60.50,4.327160493827161
instance_0004b,0.1,True,2,60.28,5.63013698630137
instance_0004b,0.9,False,7,60.23,4.354037267080745
instance_0004b,0.7,True,7,60.32,5.8533333333333335
instance_0004b,0.3,False,2,60.33,4.306748466257669
instance_0004b,0.2,True,7,60.43,5.735483870967742
instance_0004b,0.8,False,2,60.32,4.39375
instance_0004b,0.4,False,7,60.35,4.3128834355828225
instance_0004b,0.6,True,2,60.42,5.584415584415584
instance_0004b,0.1,True,3,60.26,5.3933333333333335
instance_0004b,0.3,False,3,60.38,4.41358024691358
instance_0004b,0.7,True,8,60.41,5.705882352941177
instance_0004b,0.9,False,8,60.45,4.441717791411043
instance_0004b,0.6,True,3,60.31,5.328947368421052
instance_0004b,0.4,False,8,60.32,4.5256410256410255
instance_0004b,0.8,False,3,60.43,4.333333333333333
instance_0004b,0.2,True,8,60.43,5.3907284768211925
instance_0004b,0.1,True,4,60.24,5.803921568627451
instance_0004b,0.3,False,4,60.49,4.567901234567901
instance_0004b,0.7,True,9,60.48,5.869565217391305
instance_0004b,0.9,False,9,60.49,4.3496932515337425
instance_0004b,0.6,True,4,60.48,5.626666666666667
instance_0004b,0.8,False,4,60.44,4.3128834355828225
instance_0004b,0.2,True,9,60.43,5.85625
instance_0004b,0.1,True,5,60.25,5.565789473684211
instance_0004b,0.6,True,5,60.25,5.584905660377358
instance_0004b,0.9,False,10,60.27,4.3128834355828225
instance_0004b,0.2,True,10,60.30,5.552631578947368
instance_0004b,0.7,True,10,60.30,5.85625
instance_0004b,0.8,False,5,60.38,4.300613496932515
instance_0004b,0.3,False,5,60.43,4.3602484472049685
instance_0004b,0.4,False,10,60.50,4.403726708074534
instance_0004b,0.1,True,6,60.35,5.790849673202614
instance_0004b,0.6,True,6,60.28,5.92
instance_0004b,1.0,True,1,60.31,5.68125
